10,02,00,00,0c,20,48,20,26,1f,e3,1f,e5,1f,ef,1f,b4,1f,a1,1f,a1,1f,8b,1f,51,1f,19,1f,2c,1f,3d,1f,3c,1f,59,1f,5c,1f,48,1f,62,1f,84,1f,9c,1f,c4,1f,d6,1f,bb,1f,a5,1f,ba,1f,c9,1f,98,1f,64,1f,23,1f,1f,1f,0d,1f,1a,1f,22,1f,08,1e,f6,1e,ff,1f,36,1f,65,EOP
10,02,00,00,0d,1f,78,1f,72,1f,7e,1f,b1,1f,a2,1f,7a,1f,4e,1f,39,1f,26,1f,32,1f,19,1f,51,1f,67,1f,4c,1f,48,1f,33,1f,62,1f,6c,1f,77,1f,91,1f,8b,1f,9c,1f,cb,1f,c0,1f,8e,1f,73,1f,60,1f,2a,1e,fc,1e,ea,1f,27,1f,25,1f,53,1f,89,1f,bb,1f,b1,1f,97,1f,cf,EOP
10,02,00,00,0e,20,02,20,07,20,01,1f,dd,1f,ae,1f,65,1f,8e,1f,61,1f,70,1f,75,1f,8c,1f,cf,1f,98,1f,a3,1f,6c,1f,6a,1f,67,1f,88,1f,7b,1f,91,1f,cc,1f,e5,1f,c3,1f,bf,1f,b2,1f,a7,1f,8f,1f,ac,1f,ae,1f,b9,1f,9f,1f,9c,1f,9c,1f,87,1f,76,1f,6b,1f,41,1f,48,EOP
10,02,00,00,0f,1f,60,1f,81,1f,8f,1f,6f,1f,87,1f,bd,1f,75,1f,6e,1f,7c,1f,84,1f,7a,1f,a3,1f,82,1f,7b,1f,36,1f,47,1f,40,1f,55,1f,44,1f,1e,1f,37,1f,6d,1f,79,1f,97,1f,b3,1f,9d,1f,8c,1f,81,1f,9d,1f,d8,20,16,1f,f5,1f,d9,1f,cf,1f,8c,1f,82,1f,8a,1f,7d,EOP
10,02,00,00,10,1f,74,1f,41,1f,45,1f,5a,1f,6b,1f,8d,1f,64,1f,66,1f,72,1f,6c,1f,59,1f,4d,1f,72,1f,91,1f,9f,1f,82,1f,99,1f,7d,1f,ad,1f,b2,1f,7e,1f,68,1f,63,1f,6a,1f,8a,1f,6d,1f,82,1f,85,1f,98,1f,aa,1f,b0,1f,bd,20,04,1f,fe,1f,d9,1f,d3,1f,de,1f,e9,EOP
10,02,00,00,11,1f,a0,1f,b0,1f,7f,1f,6a,1f,83,1f,bf,1f,d4,1f,e9,20,1f,20,02,20,3f,20,66,20,a4,20,d9,20,b0,20,73,20,17,1f,a8,1f,11,1e,ba,1e,7b,1e,57,1e,20,1e,5e,1e,8f,1e,e1,1f,08,1f,4b,1f,9c,1f,e0,1f,d2,20,1f,20,42,20,48,20,71,20,62,20,66,20,64,EOP
10,02,00,00,12,20,78,20,5a,20,33,1f,eb,1f,d8,1f,bc,1f,c2,1f,8a,1f,7c,1f,85,1f,b1,1f,93,1f,c8,20,18,20,15,1f,f0,20,02,20,39,1f,fb,1f,d4,1f,ff,1f,e7,1f,da,1f,b6,1f,8a,1f,4a,1f,27,1f,1f,1f,26,1f,54,1f,55,1f,75,1f,5e,1f,59,1f,7d,1f,7f,1f,a7,1f,97,EOP
10,02,00,00,13,1f,9c,1f,ab,1f,d3,1f,e8,1f,ed,20,05,20,1f,20,1e,20,25,1f,eb,1f,a7,1f,9b,1f,a9,1f,c9,1f,a0,1f,8e,1f,7d,1f,65,1f,98,1f,78,1f,6e,1f,7f,1f,96,1f,96,1f,87,1f,a5,1f,ea,1f,f2,20,03,20,19,1f,cc,1f,a6,1f,80,1f,7b,1f,57,1f,6b,1f,52,1f,3e,EOP
10,02,00,00,14,1f,23,1f,2d,1f,20,1f,32,1f,4b,1f,8f,1f,ad,1f,d2,1f,e4,1f,e8,20,35,20,98,20,c8,20,e4,20,c6,20,69,20,27,1f,f6,20,21,1f,f2,1f,e6,1f,ab,1f,8a,1f,76,1f,85,1f,85,1f,72,1f,42,1f,7d,1f,c6,1f,d7,1f,b8,1f,c9,1f,ca,1f,c5,1f,aa,1f,e3,1f,f3,EOP
10,02,00,00,15,1f,e5,1f,ff,20,19,20,1b,20,48,20,80,20,aa,20,a3,20,93,20,98,20,41,20,38,20,45,20,73,20,36,20,00,1f,dd,1f,bd,1f,c5,1f,a6,1f,c3,1f,73,1f,75,1f,60,1f,84,1f,ba,1f,9e,1f,9f,1f,82,1f,6c,1f,59,1f,84,1f,7b,1f,73,1f,61,1f,ae,1f,cf,1f,f9,EOP
10,02,00,00,16,20,31,20,4e,20,5c,20,a8,20,e2,21,1c,21,37,21,5a,21,59,21,56,21,3b,21,52,21,1c,21,08,21,02,20,ca,20,c3,20,8c,20,a2,20,94,20,b6,20,a9,20,7a,20,55,20,3b,20,56,20,2c,20,17,1f,e8,1f,da,1f,e2,1f,eb,1f,dd,1f,ec,1f,d6,1f,a4,1f,cc,1f,cd,EOP
10,02,00,00,17,1f,d8,1f,db,1f,de,1f,f9,1f,ff,20,32,20,29,20,13,20,21,20,33,20,3e,20,3d,20,47,1f,d9,1f,eb,20,1c,20,39,1f,f0,1f,fe,1f,da,1f,f3,20,15,20,0e,20,0a,1f,e5,1f,d2,1f,d9,1f,b1,1f,d2,20,21,20,57,20,4f,20,6c,20,58,20,31,20,27,20,32,20,39,EOP
10,02,00,00,18,20,1b,20,2a,20,13,1f,da,20,1f,20,49,20,22,20,17,1f,fc,1f,e0,1f,ec,1f,e0,1f,f1,1f,e8,1f,d6,20,14,20,35,20,30,20,71,20,7c,20,79,20,87,20,22,1f,e6,1f,dd,1f,f4,1f,e3,1f,c1,1f,e3,1f,f2,20,0c,1f,e7,1f,f3,1f,e5,20,15,20,36,20,4e,20,29,EOP
10,02,00,00,19,20,2f,20,1d,20,2b,20,61,20,63,20,82,20,5e,20,54,20,34,20,51,20,4d,20,3e,20,37,20,40,20,40,20,52,20,5f,20,32,20,17,20,0b,1f,d4,1f,e4,1f,f1,20,11,20,40,20,19,20,0d,20,11,20,05,20,00,20,1b,20,18,20,17,20,4b,20,3b,20,67,20,68,20,7b,EOP
10,02,00,00,1a,20,7b,20,99,20,78,20,35,20,14,20,32,20,2b,20,34,20,16,20,24,1f,fb,1f,f8,20,12,1f,f5,1f,f1,20,11,20,20,20,3d,20,34,1f,f6,1f,ec,1f,e4,1f,b9,1f,ee,20,3f,20,4f,20,55,20,73,20,42,20,1b,20,0f,20,4e,20,2e,20,3f,20,01,1f,e1,20,04,1f,f2,EOP
10,02,00,00,1b,1f,cd,1f,ed,1f,f1,1f,fa,20,30,20,1a,20,19,20,07,20,06,20,35,20,1e,1f,d8,1f,69,1e,ad,1d,6d,1c,6e,1b,4b,1a,29,19,72,19,23,1a,0c,1c,dc,21,7d,27,16,2c,aa,31,98,35,2e,37,26,36,ca,34,14,2e,6d,26,84,1d,81,15,13,0e,24,09,93,07,9d,07,97,EOP
10,02,00,00,1c,09,cc,0e,0f,13,b4,19,d9,1f,ca,24,d0,28,84,2a,ea,2b,e4,2b,a0,2a,b0,29,20,27,2d,24,fb,22,ac,20,bc,1f,4b,1e,5b,1d,f3,1d,bb,1d,d9,1e,43,1e,df,1f,9b,20,3a,20,aa,20,ef,21,14,20,f5,20,b7,20,38,1f,dc,1f,87,1f,27,1e,f5,1e,f1,1f,26,1f,5b,EOP
10,02,00,00,1d,1f,c3,20,4b,20,e9,21,86,21,e6,22,4b,22,9c,23,0f,22,e6,22,55,21,91,20,cf,1f,96,1e,1a,1c,ef,1b,df,1b,23,1a,b4,1a,8c,1b,01,1c,0c,1d,45,1e,bf,20,3e,21,f1,23,62,24,7d,25,86,25,e1,25,eb,25,ac,24,c4,23,96,22,27,21,05,1f,f5,1f,0f,1e,98,EOP
10,02,00,00,1e,1e,55,1e,06,1d,b9,1d,ce,1d,e8,1d,eb,1e,38,1e,66,1e,c5,1f,21,1f,4e,1f,99,1f,d7,20,2e,20,57,20,61,20,71,20,96,20,96,20,ab,20,ba,20,c8,20,99,20,81,20,3a,20,13,1f,fb,1f,ea,1f,d0,1f,cb,1f,9c,1f,81,1f,b0,1f,c2,1f,ae,1f,9d,20,03,1f,f8,EOP
10,02,00,00,1f,1f,d3,1f,83,1f,6c,1f,7f,1f,b7,1f,ea,20,0f,20,2a,20,2d,20,52,20,5d,20,60,20,5d,20,4b,20,73,20,7c,20,55,20,22,1f,d7,1f,a7,1f,8c,1f,9f,1f,c2,1f,cf,1f,dd,20,1a,20,35,20,37,20,8a,20,82,20,84,20,75,20,3b,1f,f6,1f,e2,1f,ba,1f,b0,1f,9e,EOP
10,02,00,00,20,1f,8e,1f,c5,1f,bf,1f,9c,1f,c6,20,13,20,15,20,25,20,3c,20,3c,20,08,1f,ee,1f,e7,1f,d7,1f,8d,1f,8a,1f,8c,1f,9f,1f,a8,1f,e0,1f,df,1f,e9,1f,e6,20,1a,1f,f0,1f,d5,1f,c7,1f,a4,1f,a3,1f,ad,1f,a7,1f,e8,1f,f9,20,16,1f,fc,20,07,1f,f0,1f,e5,EOP
10,02,00,00,21,20,24,20,61,20,6b,20,ae,20,b5,20,b3,20,99,20,69,20,91,20,84,20,72,20,74,20,69,20,3f,20,3b,20,31,20,1e,20,0e,20,18,20,02,1f,e1,20,26,20,27,20,38,1f,fd,1f,eb,20,0d,20,0c,1f,f0,20,06,1f,e2,1f,c5,1f,bb,1f,c3,1f,e6,1f,fd,20,01,20,07,EOP
10,02,00,00,22,1f,f7,20,09,20,1d,20,1f,20,2a,20,4e,20,53,20,2e,20,45,20,71,20,39,20,21,20,52,20,19,20,17,20,12,20,26,20,2e,20,01,20,08,1f,fe,1f,f3,20,29,20,06,20,0e,1f,dd,1f,fc,20,3b,20,62,20,6c,20,49,20,61,20,86,20,5e,20,24,20,29,1f,e7,1f,e6,EOP
